MMSI,Time,SOG,Longitude,Latitude,COG
1,19900101_094053,0,-14.61284,8.36800167,358.3
378,19900101_094110,18.2,-14.0324667,8.32688333,299
905,19900101_094111,14.8,-14.4470167,8.43695,294.4
607,19900101_094136,12.3,-14.098145,8.33849,285.9
700,19900101_094139,16.7,-14.1763667,8.36301667,289
1,19900101_094232,0,-14.61283,8.36798667,358.7
607,19900101_094236,12.3,-14.10304,8.339505,288.1
244,19900101_094301,10.2,-14.9812617,8.97056167,233.8
378,19900101_094310,18.1,-14.0461167,8.33133333,289
700,19900101_094314,16.7,-14.1866833,8.36545,289
905,19900101_094324,14.4,-14.4598,8.4405,294.7
1,19900101_094432,0,-14.612835,8.36801167,16.5
607,19900101_094436,12.3,-14.1123817,8.342245,296.2
244,19900101_094441,10.1,-14.98707,8.96778333,233.8
378,19900101_094446,18,-14.0569,8.33415,293
905,19900101_094447,14.8,-14.4681667,8.44286667,293.7
700,19900101_094526,16.6,-14.2011167,8.3688,288
700,19900101_094726,16.8,-14.2143167,8.3718,289
607,19900101_094757,12.2,-14.1285867,8.34561833,279.4
272,19900101_094814,0,-14.6123867,8.36712833,15.2
378,19900101_094858,18,-14.0860667,8.34235,293
905,19900101_095011,15.2,-14.4999833,8.45188333,294.2
700,19900101_095027,16.6,-14.2339833,8.3766,290
905,19900101_095135,15.6,-14.5083333,8.45421667,293.9
1,19900101_100853,0,-14.6128333,8.36798167,349.4
1,19900101_100913,0,-14.6128583,8.36801167,340.4
1,19900101_100933,0,-14.6128233,8.36801167,349.3
378,19900101_100933,18.1,-14.2282,8.38326667,289
607,19900101_100937,12.6,-14.2311533,8.369975,287.1
1,19900101_100954,0,-14.6128067,8.36800333,347.6
700,19900101_101003,16.3,-14.36055,8.41041667,290
607,19900101_101018,12.6,-14.2345017,8.370675,287.5
1,19900101_101034,0,-14.6128383,8.36799333,343.5
378,19900101_101034,18,-14.2352167,8.38478333,286
607,19900101_101057,12.7,-14.2377717,8.371365,287.4
700,19900101_101103,16.3,-14.3669333,8.41201667,290
1,19900101_101133,0,-14.6128433,8.36799,346.3
378,19900101_101146,18,-14.24405,8.3866,287
905,19900101_101147,14.9,-14.6264833,8.48873333,297.6
1,19900101_101153,0,-14.61284,8.36799167,340.2
607,19900101_101157,12.7,-14.2427233,8.372435,287.4
700,19900101_101202,16.2,-14.3732667,8.41365,290
607,19900101_101238,12.7,-14.2462683,8.37317167,286.9
378,19900101_101246,18,-14.2511,8.38808333,287
905,19900101_101247,15.8,-14.6321167,8.49045,295.1
700,19900101_101251,16.3,-14.37835,8.41495,290
1,19900101_101253,0,-14.6128533,8.367995,2.7
607,19900101_101257,12.7,-14.24787,8.37350667,287.5
378,19900101_101258,18.1,-14.2525333,8.38838333,287
700,19900101_101302,16.4,-14.3796333,8.41526667,290
700,19900101_101310,16.3,-14.3802667,8.41543333,290
1,19900101_101314,0,-14.61283,8.36802167,8.6
700,19900101_101315,16.3,-14.3809,8.41558333,290
378,19900101_101316,18.1,-14.2549167,8.3889,287
607,19900101_101317,12.7,-14.24945,8.37388167,289.4
378,19900101_101323,18.1,-14.2554,8.389,287
607,19900101_101338,12.7,-14.251185,8.374315,290.4
378,19900101_101346,18.1,-14.2582667,8.38963333,288
905,19900101_101347,15.1,-14.6379,8.49221667,294.9
1,19900101_101354,0,-14.61286,8.36798833,5.1
607,19900101_101358,12.7,-14.25282,8.37476167,291.8
905,19900101_101400,15.6,-14.6390667,8.49255,295.1
700,19900101_101403,16.2,-14.3861833,8.41695,291
700,19900101_101410,16.2,-14.3868167,8.41711667,291
378,19900101_101411,18.2,-14.26115,8.39026667,288
700,19900101_101415,16.3,-14.3872333,8.41723333,291
700,19900101_101421,16.2,-14.3878667,8.41738333,291
607,19900101_101427,12.7,-14.2550983,8.37539833,292.7
378,19900101_101428,18.2,-14.2634167,8.39076667,288
1,19900101_101433,0,-14.6128767,8.367985,4.2
378,19900101_101434,18.2,-14.2639,8.39088333,288
607,19900101_101438,12.6,-14.2561433,8.37570167,293
1,19900101_101443,0,-14.612875,8.36798667,8.2
905,19900101_101446,15.2,-14.6436,8.49388333,295.6
378,19900101_101446,18.2,-14.2655667,8.39125,288
700,19900101_101451,16.3,-14.39105,8.4182,290
378,19900101_101452,18.2,-14.2665333,8.39145,288
607,19900101_101456,12.6,-14.2575867,8.37613167,293.8
700,19900101_101456,16.3,-14.3916833,8.41836667,290
378,19900101_101458,18.2,-14.267,8.39155,288
700,19900101_101503,16.3,-14.3923333,8.41851667,290
1,19900101_101504,0,-14.612875,8.36797833,8.3
700,19900101_101509,16.3,-14.3929667,8.41868333,290
700,19900101_101515,16.3,-14.3936,8.41885,290
700,19900101_101521,16.2,-14.3942333,8.41901667,290
1,19900101_101523,0,-14.6128533,8.36799833,7.1
700,19900101_101533,16.3,-14.3955,8.41933333,290
905,19900101_101533,15.6,-14.6481167,8.49528333,294.8
378,19900101_101534,18.2,-14.2713167,8.39248333,287
607,19900101_101538,12.7,-14.2609467,8.37716333,294.8
700,19900101_101539,16.2,-14.39615,8.41948333,290
1,19900101_101543,0,-14.612815,8.36802167,6.9
905,19900101_101546,15.5,-14.64925,8.49563333,295.1
378,19900101_101546,18.2,-14.2727667,8.3928,287
905,19900101_101547,15.4,-14.6494333,8.49568333,295
700,19900101_101551,16.3,-14.3974167,8.41981667,290
700,19900101_101556,16.2,-14.39805,8.41996667,290
700,19900101_101603,16.2,-14.3987,8.42013333,290
1,19900101_101604,0,-14.612825,8.368,5.4
378,19900101_101604,18.2,-14.2751667,8.39333333,288
607,19900101_101606,12.7,-14.2631933,8.37787,294.9
700,19900101_101608,16.3,-14.3993333,8.42028333,290
700,19900101_101615,16.3,-14.3999667,8.42045,290
700,19900101_101621,16.3,-14.4006,8.4206,290
700,19900101_101632,16.3,-14.4018833,8.42091667,290
1,19900101_101633,0,-14.6128533,8.36797833,11.8
905,19900101_101633,15.4,-14.6539833,8.49703333,293.4
378,19900101_101634,18.3,-14.2783833,8.39403333,288
607,19900101_101637,12.8,-14.2656783,8.37863333,294.6
700,19900101_101644,16.3,-14.4031667,8.42125,290
378,19900101_101646,18.3,-14.2798333,8.39435,288
905,19900101_101647,15.5,-14.65535,8.49741667,292.8
607,19900101_101647,12.8,-14.26649,8.37887333,294.2
700,19900101_101650,16.3,-14.4038,8.42141667,290
607,19900101_101656,12.8,-14.2671383,8.379065,293.9
378,19900101_101657,18.3,-14.28125,8.39466667,288
905,19900101_101659,15.3,-14.6565167,8.49773333,292
700,19900101_101703,16.3,-14.4050833,8.42173333,290
378,19900101_101704,18.3,-14.2822167,8.39488333,288
607,19900101_101706,12.7,-14.2681083,8.379345,293.5
378,19900101_101710,18.3,-14.2826833,8.39498333,288
607,19900101_101716,12.7,-14.2688417,8.37955333,293.1
378,19900101_101728,18.2,-14.2850833,8.3955,288
1,19900101_101733,0,-14.612865,8.36801333,8
378,19900101_101734,18.2,-14.28555,8.39561667,288
378,19900101_101746,18.2,-14.287,8.39593333,288
